title;id;year
SimBritain: a spatial microsimulation approach to population dynamics;9235594607256571199;2005
Modelling the local impacts of national social policies: a spatial microsimulation approach;3495921165568640367;2001
Building a dynamic spatial microsimulation model for Ireland;5605672422864196431;2005
Improving the synthetic data generation process in spatial microsimulation models;2999228877729049861;2009
The design and validation of a spatial microsimulation model of obesogenic environments for children in Leeds, UK: SimObesity;7427429246793446613;2009
Can a deterministic spatial microsimulation model provide reliable small-area estimates of health behaviours? An example of smoking prevalence in New Zealand;17941286303611010904;2011
A spatial microsimulation model with student agents;17239307604907381360;2008
Using geographical information systems and spatial microsimulation for the analysis of health inequalities;13885709565184352535;2006
 Creating small area income estimates for England: spatial microsimulation modelling;5743387696842238451;2007
Spatial microsimulation for rural policy analysis in Ireland: The implications of CAP reforms for the national spatial strategy;3170551639522089887;2006
 Methodological issues in spatial microsimulation modelling for small area estimation;12756405312376320998;2010
 Regional dimensions: creating synthetic small-area microdata and spatial microsimulation models;2734110286535890402;2006
Modelling habitat conservation and participation in agri-environmental schemes: A spatial microsimulation approach;956266391853745562;2008
Spatial microsimulation using synthetic small-area estimates of income, tax and social security benefits;9126120074224415580;2005
Economic-demographic effects of immigration: results from a dynamic spatial microsimulation model;17372545140029932281;2004
 Spatial microsimulation: A reference guide for users;4182023260950364111;2012
The local implications of major job transformations in the city: a spatial microsimulation approach;16119581140965019608;2001
 The SVERIGE spatial microsimulation model: content, validation, and example applications;4791474127571411194;2002
 Assessing poverty and inequality at a detailed regional level: New advances in spatial microsimulation;11467556733895756264;2004
Building a static farm level spatial microsimulation model for rural development and agricultural policy analysis in Ireland;15640514267618114835;2009
Combining microsimulation and spatial interaction models for retail location analysis;7586925262887748696;2007
 'Truncate, replicate, sample': A method for creating integer weights for spatial microsimulation;13188569266967240824;2013
 Agent-based models of geographical systems;7411626142465077755;2011
Simulating the characteristics of populations at the small area level: New validation techniques for a spatial microsimulation model in Australia;6882383991274635858;2013
Spatial microsimulation models: a review and a glimpse into the future;16863856965777635248;2011
